Excluded Feature,Remaining Feature
Ind. 5.6.2.1,Ind. 3.8.2.2
Ind. 14.1.1.9,Ind. 3.b.1.1
Ind. 5.6.2.18,Ind. 3.8.2.2
Ind. 5.6.2.8,Ind. 12.4.2.14
Ind. 14.1.1.9,Ind. 1.5.1.7
Ind. 15.6.1.4,Ind. 3.b.1.3
Ind. 11.2.1.1,Ind. 9.4.1.1
Ind. 15.6.1.4,Ind. 4.5.1.2
Ind. 10.7.1.1,Ind. 17.13.1.1
Ind. 5.6.2.3,Ind. 16.3.1.3
Ind. 5.6.2.9,Ind. 12.4.2.15
Ind. 1.2.2.4,Ind. 1.3.1.8
Ind. 6.3.1.3,Ind. 16.3.1.3
Ind. 14.1.1.9,Ind. 6.6.1.9
Ind. 4.5.1.3,Ind. 4.7.1.4
Ind. 17.2.1.8,Ind. 6.6.1.24
Ind. 10.7.1.1,Ind. 3.b.2.2
Ind. 10.7.1.1,Ind. 10.b.1.1
Ind. 17.7.1.5,Ind. 15.4.2.1
Ind. 17.7.1.5,Ind. 16.3.1.2
Ind. 2.b.1.1,Ind. 5.6.2.16
Ind. 5.6.2.7,Ind. 8.8.1.2
Ind. 15.6.1.4,Ind. 9.4.1.3
Ind. 10.7.1.1,Ind. 4.a.1.1
Ind. 3.8.1.1,Ind. 1.4.2.3
Ind. 14.1.1.9,Ind. 2.a.1.2
Ind. 1.4.2.2,Ind. 10.1.1.1
Ind. 16.7.1.3,Ind. 8.8.1.2
Ind. 2.3.2.2,Ind. 6.3.1.4
Ind. 5.6.2.11,Ind. 12.4.2.14
Ind. 6.3.1.1,Ind. 3.8.2.1
Ind. 12.4.2.14,Ind. 5.6.2.3
Ind. 2.3.2.1,Ind. 6.3.2.4
